jd_utc,alt_m,lat_deg,lon_deg,wx_rad_s,wy_rad_s,wz_rad_s
2.45155e+06,252068,37.3555,-67.76,-0.00129361,-0.00451841,-0.000884424
2.45155e+06,252026,37.3027,-66.8788,-0.00133473,-0.00459284,-0.000904945
2.45155e+06,251981,37.244,-65.9989,-0.00137585,-0.00466956,-0.000925414
2.45155e+06,251934,37.1795,-65.1203,-0.00141569,-0.00474602,-0.000946109
2.45155e+06,251885,37.109,-64.2431,-0.0014541,-0.00482225,-0.000967021
2.45155e+06,251834,37.0327,-63.3676,-0.00149096,-0.00489831,-0.00098814
2.45155e+06,251780,36.9505,-62.4938,-0.00152616,-0.00497432,-0.00100945
2.45155e+06,251724,36.8625,-61.6218,-0.0015596,-0.00505041,-0.00103092
2.45155e+06,251666,36.7688,-60.7518,-0.00159124,-0.00512674,-0.0010525
2.45155e+06,251605,36.6693,-59.8838,-0.00162099,-0.00520349,-0.00107424
2.45155e+06,251543,36.5641,-59.018,-0.00164875,-0.00528082,-0.00109611
2.45155e+06,251478,36.4533,-58.1544,-0.00167374,-0.00535598,-0.0011152
2.45155e+06,251412,36.3368,-57.2933,-0.00169753,-0.00543433,-0.00113249
2.45155e+06,251343,36.2147,-56.4346,-0.00172172,-0.00552133,-0.00114909
2.45155e+06,251272,36.0871,-55.5785,-0.00174345,-0.00560953,-0.00116546
2.45155e+06,251199,35.9539,-54.7251,-0.00176233,-0.00569825,-0.00118164
2.45155e+06,251124,35.8153,-53.8744,-0.00177838,-0.0057862,-0.00119675
2.45155e+06,251047,35.6713,-53.0266,-0.00179104,-0.00587145,-0.00121044
2.45155e+06,250968,35.5219,-52.1817,-0.00180101,-0.00595614,-0.00122083
2.45155e+06,250887,35.3672,-51.3398,-0.00180828,-0.00603858,-0.00122756
2.45155e+06,250805,35.2072,-50.501,-0.00181255,-0.00611754,-0.00123193
2.45155e+06,250720,35.042,-49.6653,-0.00181395,-0.00619516,-0.00123482
2.45155e+06,250634,34.8717,-48.8329,-0.00181179,-0.00626408,-0.00123813
2.45155e+06,250545,34.6962,-48.0037,-0.00180634,-0.00632868,-0.00124378
2.45155e+06,250455,34.5157,-47.1779,-0.00179743,-0.00639135,-0.00125257
2.45155e+06,250364,34.3301,-46.3555,-0.00178435,-0.00645637,-0.0012652
2.45155e+06,250270,34.1396,-45.5365,-0.00176724,-0.00652194,-0.00128173
2.45155e+06,250175,33.9442,-44.7211,-0.00174871,-0.00657827,-0.00130056
2.45155e+06,250078,33.744,-43.9092,-0.00172876,-0.00662832,-0.00132124
2.45155e+06,249980,33.5389,-43.1008,-0.00170637,-0.00667837,-0.00134293
2.45155e+06,249880,33.3292,-42.2961,-0.00168188,-0.00672744,-0.0013661
2.45155e+06,249779,33.1148,-41.4951,-0.00165535,-0.00677749,-0.00138852
2.45155e+06,249676,32.8958,-40.6978,-0.00162823,-0.00682504,-0.00141123
2.45155e+06,249571,32.6723,-39.9042,-0.00160046,-0.00687119,-0.00143387
2.45155e+06,249466,32.4442,-39.1143,-0.00157263,-0.00691562,-0.00145614
2.45155e+06,249359,32.2118,-38.3283,-0.00154469,-0.00695821,-0.00147844
2.45155e+06,249250,31.9749,-37.546,-0.0015139,-0.0070037,-0.00150143
2.45155e+06,249141,31.7338,-36.7675,-0.00148176,-0.00704956,-0.00152406
2.45155e+06,249030,31.4885,-35.9928,-0.00144825,-0.00709574,-0.00154615
2.45155e+06,248918,31.2389,-35.222,-0.00141326,-0.0071424,-0.00156754
2.45155,0.00230817,-0.00434109,-0.000843223
2.45155e+06,241149,19.812,-114.73,0.0023064,-0.00435513,-0.000847763
2.45155e+06,241042,19.7781,-113.975,0.00229753,-0.0043497,-0.00085181
2.45155e+06,240933,19.7413,-113.221,0.00228781,-0.00434427,-0.00085599
2.45155e+06,240823,19.7018,-112.466,0.00227453,-0.0043325,-0.000860171
2.45155e+06,240712,19.6594,-111.712,0.00225779,-0.00431552,-0.000864689
2.45155e+06,240601,19.6142,-110.959,0.00223902,-0.00429705,-0.000869685
